Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2006,ANDERSON,"56,202","13,186",0,0,0,305,"1,538","9,788","3,397",0,0,0,0,0,0,0,305,77,"1,461",2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ANDREWS,"13,154","3,077",826,0,0,"30,459",275,"3,077",0,826,0,0,0,0,0,"30,459",0,275,0,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ANGELINA,"82,424","12,410","7,285",0,0,234,398,"12,410",0,"4,425","2,860",0,0,0,0,186,48,40,358,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ARANSAS,"24,900","4,075",102,0,0,0,20,497,"3,578",0,102,0,0,0,0,0,0,14,6,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ARCHER,"9,065","1,758",1,0,0,"1,250","3,421",97,"1,661",0,1,0,0,0,0,0,"1,250",382,"3,039",2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ARMSTRONG,"2,170",471,0,0,0,"6,583","1,018",471,0,0,0,0,0,0,0,"6,583",0,916,102,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,ATASCOSA,"42,414","9,315",147,0,"8,196","21,903","1,247","8,998",316,147,0,0,0,"8,196",0,"21,903",0,998,249,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,AUSTIN,"26,928","3,373",76,0,0,"3,101","1,618","3,373",0,74,2,0,0,0,0,"3,101",0,485,"1,133",2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BAILEY,"6,514","1,244",0,0,0,"96,024","3,923","1,244",0,0,0,0,0,0,0,"96,024",0,"3,531",392,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BANDERA,"19,773","2,780",0,0,0,284,263,"2,780",0,0,0,0,0,0,0,284,0,197,66,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BASTROP,"71,726","11,025",75,0,"6,841",596,"1,625","11,021",3,66,8,0,0,0,"6,841",596,0,325,"1,300",2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BAYLOR,"4,041",806,0,0,0,"3,274","1,137",806,0,0,0,0,0,0,0,"2,094","1,180",227,910,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BEE,"33,207","6,534",0,0,0,"5,311",824,"2,948","3,586",0,0,0,0,0,0,"5,311",0,659,165,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
2006,BELL,"269,073","49,073",818,306,0,"2,179","1,038","2,489","46,584",0,818,0,306,0,0,60,"2,119",311,727,2006,"23,507,783","4,819,668","1,324,119","80,364","398,961","8,069,889","369,318","1,539,583","3,280,078","249,688","1,074,430","42,867","37,501","41,549","357,410","5,920,487","2,149,402","202,499","166,818"
