Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2008,ANDERSON,"56,445","12,360",0,13,0,464,"1,239","9,113","3,248",0,0,11,2,0,0,180,284,62,"1,177",2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ANDREWS,"13,908","3,274",993,912,0,"30,076",224,"3,274",0,993,0,726,186,0,0,"30,076",0,224,0,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ANGELINA,"83,083","12,025","4,770",109,0,95,492,"11,984",40,"3,384","1,385",71,38,0,0,0,95,49,443,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ARANSAS,"25,327","4,322",149,0,0,0,71,471,"3,852",0,149,0,0,0,0,0,0,50,21,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ARCHER,"9,248","1,628",1,71,0,"1,100","2,582",82,"1,546",0,1,62,9,0,0,100,"1,000",339,"2,243",2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ARMSTRONG,"2,193",408,0,0,0,"7,064",591,408,0,0,0,0,0,0,0,"7,064",0,532,59,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,ATASCOSA,"43,829","6,548",79,781,"6,448","29,661","1,697","6,077",471,79,0,299,482,"6,448",0,"29,661",0,"1,357",340,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,AUSTIN,"27,270","3,349",86,0,0,"3,634","1,264","3,349",0,86,0,0,0,0,0,"3,634",0,379,885,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BAILEY,"6,283","1,168",0,0,0,"164,328","2,776","1,168",0,0,0,0,0,0,0,"164,328",0,"2,498",278,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BANDERA,"20,314","2,658",0,0,0,374,245,"2,658",0,0,0,0,0,0,0,374,0,184,61,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BASTROP,"73,382","11,083",83,"2,152","7,306",371,"1,332","11,075",8,70,12,"2,105",47,0,"7,306",371,0,267,"1,065",2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BAYLOR,"3,943",684,0,0,0,"3,329",856,681,2,0,0,0,0,0,0,"2,165","1,164",171,685,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BEE,"33,117","5,226",0,360,0,"6,270",857,"2,677","2,549",0,0,195,165,0,0,"6,270",0,685,172,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BELL,"282,534","52,424",664,"2,571",0,"1,832",977,"2,592","49,832",0,664,"1,056","1,515",0,0,63,"1,769",293,684,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BEXAR,"1,618,284","279,100","7,195","20,533","42,575","11,405",931,"261,379","17,721","6,300",895,"16,148","4,385","1,428","41,147","6,905","4,500",279,652,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BLANCO,"9,460","1,276",0,1,0,68,670,948,327,0,0,1,0,0,0,68,0,469,201,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BORDEN,698,152,0,203,0,"2,282",251,152,0,0,0,177,26,0,0,"2,282",0,75,176,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BOSQUE,"18,289","2,588",954,"1,206","1,590","2,485",897,"2,293",295,251,703,589,617,0,"1,589","1,334","1,151",269,628,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BOWIE,"93,354","20,536","1,392",0,0,"4,719","1,166","1,993","18,544",43,"1,349",0,0,0,0,"1,026","3,693",58,"1,108",2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BRAZORIA,"301,011","40,699","221,275",734,0,"84,027","1,614","30,435","10,265","10,197","211,078",144,591,0,0,"20,827","63,200","1,210",404,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
2008,BRAZOS,"174,284","32,573","2,066",240,340,"25,634","1,051","32,573",0,"2,066",0,67,173,126,214,"24,019","1,615",368,683,2008,"24,326,974","4,177,043","1,148,656","240,697","348,257","9,934,806","318,104","1,469,671","2,707,365","281,419","867,236","134,338","106,360","41,138","307,120","7,782,138","2,152,668","169,959","148,143"
