Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2015,BORDEN,674,126,0,87,0,"1,898",127,126,0,0,0,0,0,84,0,3,0,0,0,"1,898",0,0,38,89,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BOSQUE,"18,370","2,703",11,0,"2,881","2,237",734,"2,445",251,7,2,9,0,0,0,0,1,"2,880",0,"2,079",158,0,220,514,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BOWIE,"96,719","20,016",120,0,0,"6,447","1,728","1,468","18,548",0,13,107,0,0,0,0,0,0,0,"2,178","4,269",0,87,"1,641",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BRAZORIA,"345,717","41,194","145,906",0,0,"52,764","1,606","25,124","13,266","2,804","1,823","140,753","3,330",0,0,0,0,0,0,"3,647","49,117",0,"1,204",402,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BRAZOS,"217,790","37,910","1,310","1,522",465,"18,294","1,217","35,131",739,"2,040","1,310",0,0,"1,096",122,304,78,387,0,"17,310",984,0,426,791,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BREWSTER,"9,152","1,940",0,0,0,"1,974",306,"1,940",0,0,0,0,0,0,0,0,0,0,0,583,"1,391",0,291,15,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BRISCOE,"1,476",166,0,0,0,"16,556",248,89,77,0,0,0,0,0,0,0,0,0,0,"16,556",0,0,211,37,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BROOKS,"7,209","1,351",0,0,0,233,520,"1,351",0,0,0,0,0,0,0,0,0,0,0,233,0,0,338,182,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BROWN,"39,128","4,753",385,0,0,"7,592",978,181,"4,523",49,1,373,11,0,0,0,0,0,0,967,"6,625",0,147,831,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BURLESON,"18,113","2,722",111,"2,802",0,"12,662","1,107","2,722",0,0,111,0,0,"2,018",224,560,0,0,0,"8,311","4,351",0,332,775,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
