Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2016,HARRISON,"66,534","8,949","17,265",371,"13,103",404,621,"2,915","6,034",0,147,"17,118",0,213,142,16,0,"10,787","2,316",305,99,0,50,571,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HARTLEY,"5,747","1,231",0,0,0,"392,870","7,912","1,231",0,0,0,0,0,0,0,0,0,0,0,"392,870",0,0,"5,538","2,374",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HASKELL,"5,681",869,2,0,0,"40,872",308,105,764,0,0,2,0,0,0,0,0,0,0,"40,872",0,0,92,216,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HAYS,"204,470","24,530",140,264,"1,699",448,"3,190","10,441","13,547",542,139,1,0,264,0,0,0,"1,390",309,423,25,0,89,"3,101",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HEMPHILL,"4,129",778,5,428,0,"5,691","1,238",778,0,0,5,0,0,171,43,214,0,0,0,"5,691",0,0,"1,052",186,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HENDERSON,"79,901","10,117",819,173,53,905,"3,784","4,768","5,333",16,146,672,1,160,9,4,0,53,0,770,135,0,481,"3,303",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HIDALGO,"849,843","130,430","3,564",633,"8,653","493,801",727,"13,035","114,579","2,816",0,"3,564",0,632,1,0,"1,188","4,279","3,186",97,"493,704",0,291,436,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HILL,"35,077","5,956",0,2,0,946,"1,110","3,685","2,271",0,0,0,0,2,0,0,0,0,0,226,720,0,55,"1,055",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HOCKLEY,"23,275","4,330",574,65,0,"137,475",391,"1,310","1,631","1,389",569,5,0,44,0,21,0,0,0,"136,626",0,849,352,39,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HOOD,"56,857","7,443",10,193,"1,844","6,291",491,"5,982","1,461",0,10,0,0,9,180,4,26,"1,818",0,"1,932","4,359",0,221,270,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HOPKINS,"36,400","5,260",904,0,0,"2,591","5,614","1,460","3,800",0,0,904,0,0,0,0,0,0,0,576,"2,015",0,"2,807","2,807",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HOUSTON,"22,754","4,386",148,21,0,"1,376","1,411","3,292","1,094",0,7,141,0,14,6,1,0,0,0,336,"1,040",0,141,"1,270",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,HOWARD,"36,708","5,076","2,569","4,894",331,"3,662",220,881,"3,877",318,385,"2,184",0,"3,328",0,"1,566",174,157,0,"3,662",0,0,187,33,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
