Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2012,ANDERSON,"58,964","14,764",0,0,0,522,935,"9,979","4,784",0,0,0,0,0,0,414,108,47,888,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ANDREWS,"16,039","3,695",455,575,0,"23,677",202,"3,695",0,455,0,575,0,0,0,"23,677",0,202,0,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ANGELINA,"88,850","10,786","3,190",0,0,"1,003","1,002","10,749",37,"3,150",39,0,0,0,0,274,729,100,902,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ARANSAS,"23,825","4,105",0,0,0,0,53,463,"3,643",0,0,0,0,0,0,0,0,37,16,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ARCHER,"8,996","1,382",2,0,0,720,"2,669",129,"1,253",0,2,0,0,0,0,720,0,300,"2,369",2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ARMSTRONG,"1,940",429,0,0,0,"9,512",519,429,0,0,0,0,0,0,0,"9,512",0,467,52,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,ATASCOSA,"46,956","7,506",36,157,"8,427","24,445","1,314","7,506",0,36,0,141,16,"8,427",0,"24,445",0,"1,051",263,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,AUSTIN,"28,837","4,369",35,191,0,"4,594",992,"4,369",0,35,0,6,185,0,0,"4,514",80,297,695,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,BAILEY,"7,301","1,284",0,0,0,"103,617","3,279","1,284",0,0,0,0,0,0,0,"103,617",0,"2,951",328,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
2012,BANDERA,"20,738","2,696",0,0,0,824,205,"2,696",0,0,0,0,0,0,0,824,0,154,51,2012,"26,059,203","4,535,637","1,013,006","137,894","557,078","9,490,008","317,289","1,697,052","2,838,577","172,029","840,904","84,865","53,029","45,949","511,135","7,785,396","1,704,612","159,234","158,056"
