Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2002,ANDERSON,"55,658","12,338",461,0,0,162,"1,686","8,935","3,403",461,0,0,0,0,0,81,81,339,"1,347",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ANDREWS,"13,030","3,003","1,044",0,0,"28,109",239,"3,003",0,"1,044",0,0,0,0,0,"28,109",0,134,105,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ANGELINA,"81,501","11,667","19,481",0,0,9,533,"11,667",0,"11,544","7,937",0,0,0,0,9,0,213,320,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ARANSAS,"23,153","3,579",183,0,0,0,53,449,"3,130",11,172,0,0,0,0,0,0,5,48,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ARCHER,"8,885","2,163",1,0,0,"1,518","3,506",74,"2,090",0,1,0,0,0,0,0,"1,518",153,"3,353",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ARMSTRONG,"2,147",358,0,0,0,"10,274",661,358,0,0,0,0,0,0,0,"10,274",0,529,132,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,ATASCOSA,"40,355","5,935",129,0,"7,363","50,481","1,532","5,657",278,129,0,0,0,"7,363",0,"50,481",0,142,"1,390",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,AUSTIN,"25,182","3,196",67,0,0,"5,006","1,623","3,196",0,67,0,0,0,0,0,"4,255",751,98,"1,525",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BAILEY,"6,348","1,358",0,0,0,"167,951","1,839","1,358",0,0,0,0,0,0,0,"167,951",0,"1,471",368,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BANDERA,"18,976","2,554",0,0,0,487,278,"2,372",182,0,0,0,0,0,0,263,224,125,153,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BASTROP,"63,470","9,170",59,0,"2,944","1,703","1,537","9,169",1,40,19,0,0,0,"2,944",834,869,402,"1,135",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BAYLOR,"4,045",652,0,0,0,"1,024",964,651,1,0,0,0,0,0,0,"1,014",10,51,913,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BEE,"32,413","5,097",0,0,0,"3,408",966,"2,846","2,251",0,0,0,0,0,0,"3,408",0,76,890,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BELL,"246,685","44,798",491,552,0,"1,852",940,"2,551","42,248",0,491,0,552,0,0,611,"1,241",94,846,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BEXAR,"1,442,244","222,730","11,274","11,402","16,113","25,874","1,224","213,298","9,431","11,048",226,"9,106","2,296","1,043","15,070","15,524","10,350",119,"1,105",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BLANCO,"8,910","1,198",1,1,0,162,509,934,264,0,1,1,0,0,0,68,94,261,248,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BORDEN,693,172,0,77,0,"2,301",239,169,3,0,0,77,0,0,0,"2,301",0,22,217,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BOSQUE,"17,595","3,548",731,0,"2,185","2,215","1,044","2,932",616,728,4,0,0,0,"2,185",66,"2,149",522,522,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BOWIE,"91,178","18,308","1,304",0,0,"4,627","1,263","1,970","16,338",15,"1,289",0,0,0,0,0,"4,627",271,992,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BRAZORIA,"255,841","34,287","180,465",459,0,"50,343","1,459","24,684","9,603","1,337","179,129",1,458,0,0,"3,625","46,718",388,"1,071",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BRAZOS,"160,406","37,552","2,001",1,127,"6,693","1,010","37,539",13,"2,001",0,1,0,52,75,"5,555","1,138",404,606,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BREWSTER,"9,054","2,293",0,0,0,446,523,"2,219",75,0,0,0,0,0,0,308,138,497,26,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BRISCOE,"1,828",316,0,0,0,"31,072",293,213,103,0,0,0,0,0,0,"31,072",0,235,58,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BROOKS,"7,806","1,806",1,0,0,243,738,"1,806",0,1,0,0,0,0,0,243,0,74,664,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BROWN,"38,584","6,491",361,"1,028",0,"8,470","1,325",267,"6,224",0,361,0,"1,028",0,0,"1,948","6,522",127,"1,198",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BURLESON,"17,147","2,657",147,0,0,"11,841","1,377","2,657",0,147,0,0,0,0,0,"9,591","2,250",551,826,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,BURNET,"36,210","5,857",554,"2,116",0,150,"5,649","2,190","3,667",9,546,630,"1,486",0,0,114,36,196,"5,453",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CALDWELL,"34,358","4,987",6,0,0,"1,590",958,"3,906","1,081",6,0,0,0,0,0,223,"1,367",69,889,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CALHOUN,"20,974","2,431","40,587","1,997",101,"6,375",329,335,"2,097",3,"40,583","1,160",837,101,0,0,"6,375",176,153,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CALLAHAN,"12,901",971,0,0,0,"1,288","1,123",364,607,0,0,0,0,0,0,940,348,57,"1,066",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CAMERON,"356,745","59,791","1,379",0,"2,893","174,994",306,"1,922","57,868",17,"1,362",0,0,260,"2,633","8,749","166,245",23,283,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CAMP,"12,124","1,380",479,0,0,0,"1,029",899,481,439,40,0,0,0,0,0,0,412,617,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CARSON,"6,526","1,189",449,34,0,"53,621",927,"1,181",8,449,0,34,0,0,0,"53,621",0,377,550,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CASS,"30,280","2,750","107,750",0,0,6,802,890,"1,861",319,"107,431",0,0,0,0,0,6,186,616,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CASTRO,"7,980","1,713","1,851",0,0,"513,658","9,012","1,713",0,"1,851",0,0,0,0,0,"513,658",0,"3,625","5,387",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CHAMBERS,"28,394","2,943","12,239","2,619",870,"48,221",483,"1,589","1,354",627,"11,612",905,"1,714",28,842,0,"48,221",162,321,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CHEROKEE,"47,651","8,080",576,0,"1,201",167,"1,722","6,317","1,762",115,461,0,0,86,"1,115",30,137,689,"1,033",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CHILDRESS,"7,641","2,089",17,0,0,"12,498",263,124,"1,965",0,17,0,0,0,0,"12,498",0,26,237,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,CLAY,"11,366","1,763",0,0,0,"1,695","1,784",703,"1,060",0,0,0,0,0,0,"1,559",136,142,"1,642",2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,COCHRAN,"3,584",825,0,0,0,"121,509",83,825,0,0,0,0,0,0,0,"121,509",0,36,47,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
2002,COKE,"3,914",412,0,18,106,"1,140",354,184,228,0,0,0,18,2,104,980,160,35,319,2002,"21,777,667","4,124,759","1,447,858","100,521","401,460","9,830,102","303,342","1,371,172","2,753,590","237,358","1,210,509","46,564","53,954","49,462","351,999","8,105,991","1,724,111","101,706","201,636"
