Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2009,ANDERSON,"56,810","12,372",0,37,0,435,"1,270","9,345","3,027",0,0,30,7,0,0,425,10,64,"1,206",2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ANDREWS,"14,156","3,263",696,866,0,"24,155",241,"3,263",0,696,0,689,177,0,0,"24,155",0,241,0,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ANGELINA,"83,727","12,218","2,951",66,0,350,472,"12,218",0,"2,934",17,43,23,0,0,214,136,47,425,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ARANSAS,"25,507","4,550",149,0,0,0,37,470,"4,080",0,149,0,0,0,0,0,0,26,11,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ARCHER,"9,425","1,659",1,118,0,"1,000","2,403",129,"1,530",0,1,103,15,0,0,100,900,350,"2,053",2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ARMSTRONG,"2,191",375,0,0,0,"5,984",594,375,0,0,0,0,0,0,0,"5,984",0,535,59,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,ATASCOSA,"44,727","7,096",57,"1,008","7,879","35,490","1,864","6,710",386,57,0,386,622,"7,879",0,"35,490",0,"1,491",373,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,AUSTIN,"27,412","4,003",112,7,0,"3,083","1,461","4,003",0,112,0,4,3,0,0,"3,083",0,438,"1,023",2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,BAILEY,"6,344","1,106",0,0,0,"123,620","3,184","1,106",0,0,0,0,0,0,0,"123,620",0,"2,866",318,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
2009,BANDERA,"20,729","2,590",0,0,0,888,262,"2,590",0,0,0,0,0,0,0,888,0,196,66,2009,"24,782,302","4,192,627","1,098,410","218,217","393,874","9,256,426","308,098","1,529,122","2,663,501","256,717","841,693","127,550","90,669","39,848","354,027","7,112,401","2,144,025","161,849","146,248"
