Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2017,ANDERSON,"57,741","11,132","1,405",0,0,800,"1,298","8,219","2,913",0,"1,405",0,0,0,0,0,0,0,0,431,369,0,65,"1,233",0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ANDREWS,"17,722","3,415",40,"3,634",0,"14,244",201,"2,892",0,523,40,0,0,"2,471",0,"1,163",0,0,0,"14,244",0,0,201,0,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ANGELINA,"87,805","9,637","2,730",173,0,151,616,"9,637",0,0,"2,099",585,46,115,49,9,0,0,0,21,130,0,62,554,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ARANSAS,"25,572","3,736",0,0,0,0,50,400,"3,298",38,0,0,0,0,0,0,0,0,0,0,0,0,35,15,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ARCHER,"8,809","1,032",1,0,0,0,"1,766",57,974,1,0,1,0,0,0,0,0,0,0,0,0,0,354,"1,412",0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ARMSTRONG,"1,879",328,0,0,0,"4,846",662,328,0,0,0,0,0,0,0,0,0,0,0,"4,846",0,0,596,66,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,ATASCOSA,"48,981","6,410",51,"3,282","7,962","22,519","1,381","6,410",0,0,51,0,0,"2,411",249,622,"7,962",0,0,"22,519",0,0,"1,105",276,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,AUSTIN,"29,786","4,034",6,186,0,"5,793","1,126","4,034",0,0,6,0,0,0,186,0,0,0,0,"5,793",0,0,337,789,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BAILEY,"7,077","1,038",0,0,0,"51,749","4,018",875,0,163,0,0,0,0,0,0,0,0,0,"51,639",0,110,"3,616",402,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BANDERA,"22,351","2,176",0,0,0,800,188,"2,159",0,17,0,0,0,0,0,0,0,0,0,788,12,0,141,47,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BASTROP,"84,761","11,360",167,74,"6,905","5,093","1,345","11,319",0,41,167,0,0,61,4,9,"5,163","1,742",0,"5,093",0,0,269,"1,076",0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BAYLOR,"3,581",950,0,0,0,"4,087",937,928,22,0,0,0,0,0,0,0,0,0,0,"3,727",360,0,188,749,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BEE,"32,563","4,964",0,0,0,"2,871",541,"2,685","2,095",184,0,0,0,0,0,0,0,0,0,"2,871",0,0,433,108,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BELL,"347,833","53,606",617,11,"2,652","3,470",727,"2,663","50,719",224,13,604,0,11,0,0,0,0,"2,652",817,"2,653",0,218,509,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BEXAR,"1,958,578","310,064","6,722","7,578","69,059","13,215",795,"257,112","8,095","44,857","5,108",918,696,"7,578",0,0,917,"34,071","34,071","10,455","2,760",0,238,557,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BLANCO,"11,626","1,259",0,0,0,"2,152",359,883,376,0,0,0,0,0,0,0,0,0,0,"2,152",0,0,251,108,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BORDEN,673,147,0,"1,162",0,"1,816",339,147,0,0,0,0,0,815,0,347,0,0,0,"1,816",0,0,102,237,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BOSQUE,"18,326","2,741",15,0,"2,295","2,619",950,"2,568",173,0,2,13,0,0,0,0,1,"2,294",0,"2,281",338,0,285,665,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BOWIE,"94,012","17,727",174,0,0,"10,980","1,295",890,"16,837",0,9,165,0,0,0,0,0,0,0,"4,733","6,247",0,64,"1,231",0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BRAZORIA,"362,457","40,696","141,550",0,0,"36,848","1,284","26,593","14,072",31,"1,431","137,303","2,816",0,0,0,0,0,0,"3,444","33,404",0,963,321,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BRAZOS,"222,830","39,072","1,418",329,364,"36,870","1,160","36,810",367,"1,895","1,418",0,0,237,26,66,63,301,0,"35,261","1,609",0,406,754,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BREWSTER,"9,337","1,901",0,0,0,"1,083",476,"1,901",0,0,0,0,0,0,0,0,0,0,0,695,388,0,452,24,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BRISCOE,"1,528",191,0,0,0,"19,721",373,98,93,0,0,0,0,0,0,0,0,0,0,"19,721",0,0,317,56,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BROOKS,"7,235","1,472",0,5,0,669,437,"1,472",0,0,0,0,0,4,1,0,0,0,0,669,0,0,284,153,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
2017,BROWN,"38,053","4,815",421,0,0,"6,306","1,007",136,"4,679",0,1,413,7,0,0,0,0,0,0,526,"5,780",0,151,856,0,2017,"28,304,596","4,420,310","1,003,183","288,089","535,121","7,490,061","287,779","1,424,184","2,833,141","162,985","154,964","825,866","22,353","176,846","17,121","94,122","51,572","415,317","68,232","5,452,410","1,975,418","62,233","155,655","132,124",0
