Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2003,ANDERSON,"55,618","12,580",461,0,0,270,"1,529","9,273","3,307",461,0,0,0,0,0,17,253,307,"1,222",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ANDREWS,"12,946","3,287","1,041",0,0,"32,573",171,"3,287",0,"1,041",0,0,0,0,0,"32,573",0,96,75,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ANGELINA,"81,332","11,094","18,326",0,0,155,502,"11,094",0,"13,127","5,198",0,0,0,0,25,130,201,301,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ARANSAS,"23,877","3,497",170,0,0,0,37,457,"3,040",21,148,0,0,0,0,0,0,4,33,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ARCHER,"9,164","1,389",1,0,0,"1,000","3,997",75,"1,314",0,1,0,0,0,0,0,"1,000",166,"3,831",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ARMSTRONG,"2,102",416,0,0,0,"7,634",984,416,0,0,0,0,0,0,0,"7,634",0,788,196,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,ATASCOSA,"41,187","5,895",126,0,"7,363","20,530","1,758","5,577",318,126,0,0,0,"7,363",0,"20,530",0,163,"1,595",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,AUSTIN,"25,285","3,273",59,0,0,"5,808","1,586","3,273",0,59,0,0,0,0,0,"5,808",0,96,"1,490",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,BAILEY,"6,369","1,341",0,0,0,"152,977","2,020","1,341",0,0,0,0,0,0,0,"152,977",0,"1,616",404,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,BANDERA,"19,254","2,553",0,0,0,169,241,"2,446",107,0,0,0,0,0,0,161,8,108,133,2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,BASTROP,"66,988","9,664",102,0,"3,303",400,"1,668","9,663",1,40,62,0,0,0,"3,303",400,0,437,"1,231",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
2003,BAYLOR,"4,041",685,0,0,0,"2,295","1,141",684,1,0,0,0,0,0,0,"1,217","1,078",60,"1,081",2003,"22,130,231","4,036,604","1,339,487","88,407","301,966","9,039,660","304,166","1,373,212","2,663,382","236,797","1,102,686","45,817","42,591","51,358","250,606","7,322,490","1,717,170","95,800","208,366"
