Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2014,ANDERSON,"58,501","13,781",0,33,0,977,"1,041","8,923","4,858",0,0,27,6,0,0,625,352,52,989,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ANDREWS,"17,343","3,611",449,"1,621",0,"14,441",187,"3,611",0,449,0,"1,621",0,0,0,"14,441",0,187,0,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ANGELINA,"89,811","10,533","3,176",0,177,92,951,"9,959",574,"3,102",74,0,0,177,0,0,92,95,856,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ARANSAS,"24,961","3,626",0,1,0,0,51,410,"3,217",0,0,1,0,0,0,0,0,36,15,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ARCHER,"9,266",950,1,4,0,0,"1,775",127,823,0,1,1,3,0,0,0,0,355,"1,420",2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ARMSTRONG,"1,946",346,0,0,0,"5,422",282,346,0,0,0,0,0,0,0,"5,422",0,254,28,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,ATASCOSA,"47,828","7,028",52,"5,236","5,750","29,323","1,375","7,028",0,52,0,"4,712",524,"5,750",0,"29,323",0,"1,100",275,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,AUSTIN,"30,117","4,107",23,179,0,"6,007","1,177","4,107",0,23,0,0,179,0,0,"6,007",0,354,823,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,BAILEY,"7,056","1,020",0,0,0,"76,333","3,284","1,020",0,0,0,0,0,0,0,"76,333",0,"2,956",328,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
2014,BANDERA,"21,201","2,246",0,0,0,831,216,"2,246",0,0,0,0,0,0,0,797,34,162,54,2014,"26,956,958","4,098,036","999,845","163,370","434,862","7,829,948","314,764","1,488,641","2,609,409","170,587","829,257","137,479","25,888","54,416","380,448","6,422,898","1,407,050","154,744","160,020"
